# Curated RepBase family -> (repFamily, repClass) for the hg38 reference index.
#
# Provenance: columns 1, 4 and 5 of the RepBase block (lines 5277-6500) of
# examples/inputs/hg38/MASTER_FILELIST.20201203...wmiRs.tsv, the 2020 reference file.
# Same derivation style as refdata/repbase18.05-classes.txt and -drop-exact.txt.
#
# WHY IT EXISTS (-475.42): 354 of these 1,224 families have no genomic instances in the
# modern UCSC rmsk track, so no repClass/repFamily is available for them and column 4 --
# the label reads are counted under -- would otherwise fall back to the family's own name,
# splitting e.g. alpha-satellite variants out of centr instead of pooling them.
#
# CIRCULAR: derived from the reference, so it must be EXCLUDED when measuring how well an
# autogenerated hg38 filelist reproduces that reference (-475.22). It is consulted only
# AFTER the rmsk table, so current RepeatMasker calls always win and post-2020
# reclassification stays visible rather than being frozen.
#
# Mouse uses this file too: 170 mouse RepBase families share an exact family name with a
# human one, and 167 of 168 shared names carry the identical RepBase class token in both
# species, so a shared name is the same consensus family.
family	repFamily	repClass
LTR81AB	Gypsy	LTR
MER61D	ERV1	LTR
HSAT5	Satellite	Satellite
LTR34	ERV1	LTR
LTR38	ERV1	LTR
CHARLIE6	hAT-Charlie	DNA
MER11D	ERVK	LTR
LTR27D	ERV1	LTR
LTR28B	ERV1	LTR
MER101B	ERV1	LTR
MER30B	hAT-Charlie	DNA
LTR46	ERV1	LTR
LTR44	ERV1	LTR
LTR7Y	ERV1	LTR
LTR31	ERV1	LTR
LTR43B	ERV1	LTR
MER34D	ERV1	LTR
LTR71B	ERV1	LTR
MER51E	ERV1	LTR
LTR38B	ERV1	LTR
LTR1	ERV1	LTR
MER66D	ERV1	LTR
ALUYD8	Alu	SINE
U3	SNORD	SNORD
MLT1C2	ERVL-MaLR	LTR
LTR1F1	ERV1	LTR
UCON1	Unknown	Unknown
MER74C	ERVL	LTR
LTR60B	ERV1	LTR
LTR73	ERV1	LTR
LTR2752	ERV1	LTR
MER97C	hAT-Tip100	DNA
UCON29	PiggyBac	DNA
MER87B	ERV1	LTR
ALUYK12	Alu	SINE
LTR27E	ERV1	LTR
X8_LINE	CR1	LINE
MER65B	ERV1	LTR
LTR13A	ERVK	LTR
LTR76	ERV1	LTR
LTR61	ERV1	LTR
LTR35B	ERV1	LTR
LTR53B	ERVL	LTR
MER127	TcMar-Tigger	DNA
LTR75B	ERVL	LTR
LSAU	Satellite	Satellite
MER48	ERV1	LTR
LTR18A	ERVL	LTR
LTR16D1	ERVL	LTR
MER34C	ERV1	LTR
MER57C1	ERV1	LTR
MER72B	ERV1	LTR
UCON8	DNA	DNA
LTR27C	ERV1	LTR
RICKSHA	MULE-MuDR	DNA
MER97B	hAT-Tip100	DNA
X2_LINE	CR1	LINE
MER51C	ERV1	LTR
U13	SNORD	SNORD
LTR10D	ERV1	LTR
UCON26	Unknown	Unknown
LTR45	ERV1	LTR
UCON78	DNA	DNA
LTR47B2	ERVL	LTR
GSATII	centr	Satellite
LTR3A	ERVK	LTR
LTR12B	ERV1	LTR
LTR10B1	ERV1	LTR
MER51D	ERV1	LTR
LTR1B1	ERV1	LTR
LTR27B	ERV1	LTR
LTR6B	ERV1	LTR
LTR9C	ERV1	LTR
DNA1_MAM	TcMar	DNA
LTR22A	ERVK	LTR
LTR71A	ERV1	LTR
MER130	DNA	DNA
MER68C	ERVL	LTR
MER61F	ERV1	LTR
MER87	ERV1	LTR
MER6C	TcMar-Tigger	DNA
ALUYH9	Alu	SINE
UCON34	Unknown	Unknown
LTR72	ERV1	LTR
LTR28	ERV1	LTR
LTR38A1	ERV1	LTR
LTR72B	ERV1	LTR
LTR22B	ERVK	LTR
LTR22B1	ERVK	LTR
MER92A	ERV1	LTR
LTR70	ERV1	LTR
MER83B	ERV1	LTR
MER83C	ERV1	LTR
TAR1	telo	Satellite
UCON107	hAT	DNA
LTR30	ERV1	LTR
LTR14A	ERVK	LTR
UCON35	Unknown	Unknown
LTR69	ERVL	LTR
PRIMLTR79	ERV1	LTR
MER95	ERV1	LTR
